Industry,co2_c,ch4_c,n2o_c,sox_c,nox_c,pm10_c,pm2.5_c,co2_nc,ch4_nc,n2o_nc,sox_nc,nox_nc,pm10_nc,pm2.5_nc,sf6,hfc,pfc
Aluminium production,2.41E+06,65.975,86.454,4728.4,5888.8,465.08,265.3,2.88E+05,3075.9,21.196,887.56,164.02,291.73,148.9,0.062576,1456.3,6845.7
Re-processing of secondary aluminium into new aluminium,1.10E+06,42.442,56.212,2675.2,3200.1,330.95,199.23,3.03E+05,1985.4,19.856,935.17,169.94,306.74,156.91,0.066807,1561.4,8030.2
"Lead, zinc and tin production",6.97E+05,27.217,37.966,1746.6,2325,193.26,116.57,5.49E+05,1256,19.487,62.682,26.5,182.47,115.16,0.17799,1514.5,418.76
Re-processing of secondary lead into new lead,1.50E+06,43.744,39.249,3233.9,3323.6,478.1,346.56,5.49E+05,832.35,16.928,55.081,23.814,181.41,114.89,0.34475,798.56,199.72
Copper production,7.58E+05,32.502,42.946,2038.7,2717.6,236.19,152.93,74904,1743.2,22.294,92.122,34.228,53.953,37.508,0.096627,1142.2,345.49
Re-processing of secondary copper into new copper,8.95E+05,35.348,45.044,2431.3,3131.8,261.44,165,74390,1941.8,22.125,91.392,33.966,53.751,37.261,0.09663,1134.8,342.89
Other non-ferrous metal production,1.54E+06,50.818,54.093,4519.6,4825.4,449.78,275.38,3.56E+05,2842.5,19.78,180.94,38.755,31.549,21.002,0.099322,1360.2,976.03
Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,1.02E+06,43.942,54.084,2932.6,3339.4,360.57,237.38,3.48E+05,1973.2,20.362,183.28,37.131,29.374,19.89,0.10368,1437.3,1006.7
Casting of metals,1.26E+06,35.505,48.76,3789.7,3086.9,433.48,325.09,1.03E+05,1857.4,10.376,108,28.986,33.505,19.81,4.4018,826.13,1641.2
"Manufacture of fabricated metal products, except machinery and equipment",7.35E+05,26.115,30.707,1895,2069.1,222.38,148.77,1.98E+05,1602.2,13.199,133.94,38.842,32.446,21.21,0.12831,840.45,955.27
Manufacture of machinery and equipment n.e.c.,5.65E+05,22.845,31.681,1520.7,1674.6,195.57,130.01,97548,1111.1,11.348,68.032,23.949,19.446,13.064,0.15055,1047.3,651.58
Manufacture of office machinery and computers,4.79E+05,21.677,29.454,1809.7,1827.1,244,133,55281,1039.6,13.634,47.647,19.198,16.81,11.216,0.052696,4593.1,664.93
Manufacture of electrical machinery and apparatus n.e.c.,6.76E+05,26.524,29.121,1606.8,1949.3,207.26,137.62,1.21E+05,1252.5,16.439,80.429,30.38,30.656,22.134,0.090582,1314.4,633.09
"Manufacture of radio, television and communication equipment and apparatus",4.40E+05,18.657,24.485,1359.3,1531.3,169.47,100.8,38901,889.67,15.37,44.33,18.79,12.881,8.7092,0.040741,1939.6,440.85
"Manufacture of medical, precision and optical instruments, watches and clocks",4.01E+05,19.788,23.762,1113.3,1408.4,165.55,114.62,38170,749.01,13.099,42.598,20.133,13.633,9.2042,0.047242,1236.1,324.85
"Manufacture of motor vehicles, trailers and semi-trailers",6.69E+05,26.407,31.849,1917.8,1934.1,249.58,162.68,1.16E+05,1349.3,17.713,85.878,31.078,24.791,16.927,0.19032,1963,872.29
