industry,co2,ch4,n2o,sox,nox,pm10,pm2.5
Post and telecommunications (64),356753.35,996.11756,41.0709,758.889,1703.5231,144.76477,122.16628
"Financial intermediation, except insurance and pension funding (65)",107016.72,455.668302,9.20878,393.5234,373.4509,32.56028,24.60457
"Insurance and pension funding, except compulsory social security (66)",98499.88,459.515342,17.282232,343.4246,352.741,33.43461,26.09297
Activities auxiliary to financial intermediation (67),217172.329,405.931764,4.212575,91.801,198.36295,44.368519,38.518759
Real estate activities (70),158093.32,1314.33629,9.908065,890.691,513.0228,42.26613,27.74351
Renting of machinery and equipment without operator and of personal and household goods (71),311324.24,903.50649,27.33674,860.058,1271.6326,91.97726,69.82173
Computer and related activities (72),202169.27,817.75831,12.474807,995.974,684.8631,54.4421,37.58374
Research and development (73),301891.92,1817.40649,30.85762,1167.38,953.5028,92.42235,71.60545
Other business activities (74),230129.17,714.61211,19.09579,678.709,881.2738,65.84287,49.74791
Public administration and defence; compulsory social security (75),374431,2297.69314,28.88877,1074.545,1029.4527,95.55769,73.56823
Education (80),436689.89,3194.18729,37.10871,2411.02,1321.8516,109.65773,69.8109
Health and social work (85),252299.17,1762.16001,24.31697,1184.826,793.5109,78.31174,56.08948
Collection and treatment of sewage,605719.5,13535.66133,48.47076,1400.627,2274.3407,203.98549,159.94983
Collection of waste,441777.6,12801.20029,43.93856,905.894,1968.2682,161.16003,128.63704
Incineration of waste,473624.2,12974.02103,44.67298,3123.282,12078.5793,1373.42626,919.46575
Landfill of waste,473235.2,1196338.494,44.66855,1000.838,2026.1147,169.1811,134.49098
"Sanitation, remediation and similar activities",453581.8,12511.71524,44.19028,936.409,1983.3253,163.91082,130.71475
Activities of membership organisation n.e.c. (91),375371.4,1527.86117,36.53868,1126.319,1549.239,120.48238,92.74952
"Recreational, cultural and sporting activities (92)",366761.21,1331.18959,37.11278,1209.18,1495.888,109.21314,81.38768
Other service activities (93),398923.53,1449.17958,29.49966,1426.388,1517.645,118.11578,87.34564
Private households with employed persons (95),112377,76.1833,14.0233,0,647.033,35.9034,29.1911
Extra-territorial organizations and bodies,0,0,0,0,0,0,0
