,year,quarter,alc,all,cerealandbake,dairy,fatsandoils,foodathome,foodaway,food,fruitsandveg,meatpoultryfisheggs,otherfood,sugarandsweets
63,1982,4,98.0,97.93333333333334,97.23333333333333,98.93333333333332,95.66666666666667,98.43333333333334,97.36666666666666,97.66666666666667,95.63333333333334,100.09999999999998,98.10000000000001,98.13333333333333
64,1983,1,98.89999999999999,98.0,98.33333333333333,99.83333333333333,95.7,98.2,98.56666666666668,98.56666666666666,92.86666666666667,99.43333333333334,98.60000000000001,98.56666666666668
65,1983,2,100.40000000000002,99.13333333333333,99.3,100.0,95.63333333333333,99.26666666666667,99.60000000000001,99.56666666666666,97.23333333333335,99.96666666666665,98.93333333333334,99.10000000000001
66,1983,3,100.89999999999999,100.09999999999998,100.03333333333335,100.03333333333335,96.43333333333334,99.36666666666667,100.3,99.60000000000001,98.7,98.76666666666667,99.53333333333335,99.76666666666667
67,1983,4,101.3,101.09999999999998,100.63333333333333,100.0,101.73333333333333,99.76666666666667,101.46666666666665,99.89999999999999,100.56666666666666,97.93333333333334,100.73333333333333,99.83333333333333
68,1984,1,101.89999999999999,102.53333333333335,102.3,100.3,103.8,102.3,102.7,102.66666666666667,105.23333333333333,102.23333333333335,101.5,101.33333333333333
69,1984,2,102.8,103.5,103.39999999999999,100.56666666666666,104.93333333333332,102.33333333333333,103.8,102.86666666666667,103.06666666666668,102.0,102.5,103.33333333333333
70,1984,3,103.3,104.39999999999999,104.66666666666667,101.3,108.76666666666667,103.0,104.76666666666667,103.63333333333333,106.73333333333333,100.46666666666665,103.8,104.13333333333333
71,1984,4,103.83333333333333,105.3,105.36666666666667,102.86666666666667,108.73333333333333,103.46666666666665,105.56666666666666,103.76666666666667,107.76666666666667,99.93333333333334,104.23333333333333,103.96666666666665
72,1985,1,104.56666666666666,106.26666666666667,106.73333333333333,103.56666666666666,109.26666666666665,104.23333333333333,106.66666666666667,105.23333333333333,108.73333333333335,100.73333333333333,104.73333333333335,104.66666666666667
73,1985,2,105.43333333333332,107.23333333333333,107.56666666666666,103.23333333333333,109.03333333333335,104.0,107.93333333333334,105.40000000000002,108.2,99.63333333333333,105.33333333333333,105.39999999999999
74,1985,3,106.0,107.90000000000002,108.36666666666667,103.06666666666666,109.73333333333335,103.93333333333334,108.93333333333334,105.53333333333335,107.86666666666667,98.66666666666667,106.0,106.40000000000002
75,1985,4,109.53333333333335,109.0,109.03333333333335,102.76666666666667,107.76666666666665,104.86666666666667,109.76666666666667,106.10000000000001,109.0,100.66666666666667,106.3,106.66666666666667
76,1986,1,110.43333333333334,109.56666666666668,109.76666666666665,102.83333333333333,107.76666666666665,105.73333333333333,110.73333333333335,107.53333333333335,107.2,102.13333333333333,108.5,108.06666666666666
77,1986,2,111.10000000000001,109.03333333333335,110.33333333333333,102.8,106.43333333333334,106.03333333333335,112.09999999999998,107.93333333333332,108.76666666666665,101.2,109.40000000000002,109.09999999999998
78,1986,3,111.43333333333334,109.7,111.53333333333335,103.33333333333333,106.16666666666667,108.03333333333335,113.13333333333333,109.73333333333333,110.46666666666665,105.89999999999999,109.56666666666666,109.56666666666666
79,1986,4,111.56666666666666,110.46666666666668,111.93333333333334,104.46666666666665,105.59999999999998,109.3,114.26666666666667,110.56666666666666,112.2,108.2,109.66666666666667,109.43333333333334
80,1987,1,112.8,111.8,113.2,105.53333333333335,108.3,110.5,115.53333333333335,112.36666666666667,114.96666666666665,108.93333333333334,110.66666666666667,110.43333333333334
81,1987,2,113.46666666666665,113.06666666666666,114.53333333333332,105.5,108.10000000000001,111.7,116.43333333333334,113.3,119.5,110.3,110.23333333333333,110.89999999999999
82,1987,3,114.46666666666665,114.26666666666667,115.3,105.8,108.16666666666667,112.33333333333333,117.56666666666666,113.86666666666667,119.23333333333333,111.63333333333333,110.46666666666665,111.33333333333333
83,1987,4,115.60000000000001,115.33333333333333,116.2,106.83333333333333,107.7,112.96666666666665,118.59999999999998,114.39999999999999,122.73333333333333,110.93333333333334,110.7,111.33333333333333
84,1988,1,116.76666666666667,116.23333333333333,118.56666666666668,107.3,109.43333333333334,113.76666666666667,119.73333333333333,115.76666666666667,124.7,110.76666666666667,111.33333333333333,112.33333333333333
85,1988,2,118.06666666666666,117.56666666666666,120.3,107.23333333333333,111.0,115.0,121.06666666666666,117.06666666666666,124.56666666666666,113.43333333333334,112.03333333333335,112.7
86,1988,3,119.2,119.0,123.60000000000001,108.23333333333335,114.46666666666665,118.09999999999998,122.53333333333335,119.46666666666665,130.6,116.76666666666667,113.76666666666667,114.8
87,1988,4,120.16666666666667,120.3,126.03333333333335,110.63333333333333,117.56666666666666,119.36666666666667,123.73333333333335,120.39999999999999,132.83333333333334,116.23333333333333,115.36666666666667,116.2
88,1989,1,121.2,121.66666666666667,128.83333333333334,113.26666666666667,120.16666666666667,121.3,125.2,122.86666666666667,133.56666666666666,118.90000000000002,117.0,117.66666666666667
89,1989,2,122.76666666666667,123.63333333333333,131.33333333333334,113.83333333333333,121.59999999999998,123.89999999999999,126.66666666666667,124.7,137.86666666666665,121.53333333333335,118.86666666666667,118.39999999999999
